PlayerID,PlayerName,PlayerRating,PlayerPOS,PAC,SHO,PAS,DRI,DEF,PHY,PlayerIMG,ClubIMG,CountryIMG
1,Lionel Messi,93,RW,85,92,91,95,38,65,https://futhead.cursecdn.com/static/img/21/players/158023.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
2,Cristiano Ronaldo,92,ST,89,93,81,89,35,77,https://futhead.cursecdn.com/static/img/21/players/20801.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/38.png
3,Neymar,91,LW,91,85,86,94,36,59,https://futhead.cursecdn.com/static/img/21/players/190871.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
4,Kevin De Bruyne,91,CAM,76,86,93,88,64,78,https://futhead.cursecdn.com/static/img/21/players/192985.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/7.png
5,Robert Lewandowski,91,ST,78,91,78,86,43,82,https://futhead.cursecdn.com/static/img/21/players/188545.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/37.png
6,Sadio Mané,90,LW,94,85,80,90,44,76,https://futhead.cursecdn.com/static/img/21/players/208722.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/136.png
7,Mohamed Salah,90,RW,93,86,81,90,45,75,https://futhead.cursecdn.com/static/img/21/players/209331.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/111.png
8,Kylian Mbappé,90,ST,96,86,78,91,39,76,https://futhead.cursecdn.com/static/img/21/players/231747.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
9,Virgil van Dijk,90,CB,76,60,71,72,91,86,https://futhead.cursecdn.com/static/img/21/players/203376.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/34.png
10,Casemiro,89,CDM,65,73,76,73,86,91,https://futhead.cursecdn.com/static/img/21/players/200145.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
11,Karim Benzema,89,CF,74,85,81,87,40,76,https://futhead.cursecdn.com/static/img/21/players/165153.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
12,Sergio Agüero,89,ST,78,90,77,88,33,73,https://futhead.cursecdn.com/static/img/21/players/153079.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
13,Sergio Ramos,89,CB,71,70,76,74,88,85,https://futhead.cursecdn.com/static/img/21/players/155862.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
14,Kalidou Koulibaly,88,CB,75,28,55,69,89,86,https://futhead.cursecdn.com/static/img/21/players/201024.png,https://futhead.cursecdn.com/static/img/21/clubs/48.png,https://futhead.cursecdn.com/static/img/21/nations/136.png
15,N'Golo Kanté,88,CDM,77,66,76,81,86,82,https://futhead.cursecdn.com/static/img/21/players/215914.png,https://futhead.cursecdn.com/static/img/21/clubs/5.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
16,Paulo Dybala,88,CF,85,85,84,91,43,63,https://futhead.cursecdn.com/static/img/21/players/211110.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
17,Raheem Sterling,88,LW,93,81,79,90,45,67,https://futhead.cursecdn.com/static/img/21/players/202652.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
18,Eden Hazard,88,LW,88,82,83,92,35,66,https://futhead.cursecdn.com/static/img/21/players/183277.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/7.png
19,Harry Kane,88,ST,68,91,80,81,47,83,https://futhead.cursecdn.com/static/img/21/players/202126.png,https://futhead.cursecdn.com/static/img/21/clubs/18.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
